f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
101.3745,171.52400000000006,303.01039999999995,501.02400000000006,1398.0,2922.0,4228.0,3648.0,14.0,26.0,44.0,64.0,70.0,178.0,220.0,160.0,9.9054,20.3322,34.558,39.916799999999995,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
101.3745,171.52400000000006,303.01039999999995,501.02400000000006,1398.0,2922.0,4228.0,3648.0,14.0,26.0,44.0,64.0,70.0,178.0,220.0,160.0,9.9054,20.3322,34.55799999999999,39.9168,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
145.45499999999998,245.25599999999997,615.8415999999999,635.2959999999999,2484.0,5668.0,6624.0,7136.0,16.0,36.0,64.0,80.0,100.0,244.0,320.0,384.0,12.4592,30.733199999999997,45.74079999999999,55.41279999999999,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
145.455,245.25599999999997,615.8415999999997,635.2959999999999,2484.0,5668.0,6624.0,7136.0,16.0,36.0,64.0,80.0,100.0,244.0,320.0,384.0,12.4592,30.733199999999997,45.74079999999999,55.41279999999999,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
145.45499999999998,245.25599999999997,615.8415999999997,635.2959999999999,2484.0,5668.0,6624.0,7136.0,16.0,36.0,64.0,80.0,100.0,244.0,320.0,384.0,12.4592,30.733200000000004,45.740799999999986,55.41279999999999,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
145.455,245.25599999999994,615.8415999999997,635.2959999999999,2484.0,5668.0,6624.0,7136.0,16.0,36.0,64.0,80.0,100.0,244.0,320.0,384.0,12.4592,30.733199999999997,45.74079999999999,55.41279999999999,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
127.8863,225.66399999999993,347.24639999999994,366.0159999999999,2531.0,3968.0,3936.0,4736.0,15.0,32.0,40.0,48.0,72.0,160.0,192.0,224.0,12.431099999999999,25.228799999999996,29.914399999999993,34.2224,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
101.37450000000001,171.524,303.0104,501.024,1398.0,2922.0,4228.0,3648.0,14.0,26.0,44.0,64.0,70.0,178.0,220.0,160.0,9.9054,20.3322,34.55799999999999,39.916800000000016,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
101.3745,171.52400000000003,303.0103999999999,501.02400000000006,1398.0,2922.0,4228.0,3648.0,14.0,26.0,44.0,64.0,70.0,178.0,220.0,160.0,9.9054,20.3322,34.55799999999999,39.9168,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
101.3745,171.52400000000003,303.01039999999995,501.02400000000006,1398.0,2922.0,4228.0,3648.0,14.0,26.0,44.0,64.0,70.0,178.0,220.0,160.0,9.9054,20.332200000000004,34.55799999999999,39.91680000000001,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
101.3745,171.524,303.01040000000006,501.024,1398.0,2922.0,4228.0,3648.0,14.0,26.0,44.0,64.0,70.0,178.0,220.0,160.0,9.9054,20.332200000000004,34.558,39.91680000000001,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
127.88630000000002,225.66399999999993,347.2464,366.0159999999999,2531.0,3968.0,3936.0,4736.0,15.0,32.0,40.0,48.0,72.0,160.0,192.0,224.0,12.431099999999999,25.228799999999996,29.914399999999993,34.2224,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
127.8863,225.66399999999993,347.24639999999994,366.01599999999996,2531.0,3968.0,3936.0,4736.0,15.0,32.0,40.0,48.0,72.0,160.0,192.0,224.0,12.431099999999999,25.228799999999996,29.914399999999993,34.22239999999999,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
127.8863,225.66399999999993,347.24639999999994,366.01599999999996,2531.0,3968.0,3936.0,4736.0,15.0,32.0,40.0,48.0,72.0,160.0,192.0,224.0,12.431099999999999,25.228799999999996,29.914399999999993,34.22239999999999,2.402500000000003,19.860020833333348,15.809999999999969,32.66366666666662,625.0,866.9270833333334,600.0,1233.3333333333333,1.0,3.84375,4.0,7.333333333333333,16.614583333333332,34.03125,52.25,83.70833333333333,1.9320999999999986,4.103251041666668,4.281200000000007,7.700599999999999,0.0,-6.855104166666656,-3.9999999999999996,-9.706666666666647,0.0,61.416666666666664,76.0,134.0,0.0,0.0,0.0,0.0,0.0,8.770833333333334,5.416666666666667,12.125,0.0,2.39083333333333,2.4799999999999995,4.653333333333335,MEFZUU_manual_primitive
