lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
7.87205,7.752,0.0,0.0,42.5,42.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5777,0.5775,0.0,0.0,91.22500000000001,83.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
7.87205,7.752,0.0,0.0,42.5,42.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5777,0.5775,0.0,0.0,91.22500000000001,83.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.202400000000004,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.1887499999999998,1.59735,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
7.87205,7.752,0.0,0.0,42.5,42.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5777,0.5775,0.0,0.0,91.22500000000001,83.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
7.87205,7.752,0.0,0.0,42.5,42.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5777,0.5775,0.0,0.0,91.22500000000001,83.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.202400000000004,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.202400000000004,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.1887499999999998,1.59735,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.1887499999999998,1.59735,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.202400000000004,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000003,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.25,0.43999999999999995,0.0,-4.95,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.202400000000004,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.5973499999999998,41.425000000000004,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
10.5376,8.261999999999999,21.132799999999996,30.2024,56.5,45.0,92.75,124.25,1.0,1.0,2.5,3.5,1.0,3.5,6.0,5.5,0.5477,0.5698000000000001,1.18875,1.59735,41.425,71.755,131.71946050000003,154.408302,0.0,0.6900000000000002,1.4425000000000001,1.8175,0.0,1.5,6.25,9.25,0.0,0.0,0.0,0.0,0.0,-2.5,-3.5,-2.0,0.0,-0.030000000000000027,0.24999999999999997,0.43999999999999995,0.0,-4.950000000000001,-3.7553325000000006,-1.4088875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UJOJIO03_clean_primitive
